Subject,StartDate,EndDate,Start Time,End Time,All Day Event,Location,Private
Ho Chi Minh Ideology,21/02/2025,21/02/2025,09:20,11:45,False,D3-5-501,False
Ho Chi Minh Ideology,07/03/2025,07/03/2025,09:20,11:45,False,D3-5-501,False
Ho Chi Minh Ideology,21/03/2025,21/03/2025,09:20,11:45,False,D3-5-501,False
Ho Chi Minh Ideology,04/04/2025,04/04/2025,09:20,11:45,False,D3-5-501,False
Ho Chi Minh Ideology,18/04/2025,18/04/2025,09:20,11:45,False,D3-5-501,False
Ho Chi Minh Ideology,02/05/2025,02/05/2025,09:20,11:45,False,D3-5-501,False
Ho Chi Minh Ideology,16/05/2025,16/05/2025,09:20,11:45,False,D3-5-501,False
Ho Chi Minh Ideology,30/05/2025,30/05/2025,09:20,11:45,False,D3-5-501,False
Ho Chi Minh Ideology,13/06/2025,13/06/2025,09:20,11:45,False,D3-5-501,False
Technical Writing and Presentation,12/02/2025,12/02/2025,06:45,10:05,False,C7-103,False
Technical Writing and Presentation,19/02/2025,19/02/2025,06:45,10:05,False,C7-103,False
Technical Writing and Presentation,26/02/2025,26/02/2025,06:45,10:05,False,C7-103,False
Technical Writing and Presentation,05/03/2025,05/03/2025,06:45,10:05,False,C7-103,False
Technical Writing and Presentation,12/03/2025,12/03/2025,06:45,10:05,False,C7-103,False
Technical Writing and Presentation,19/03/2025,19/03/2025,06:45,10:05,False,C7-103,False
Technical Writing and Presentation,26/03/2025,26/03/2025,06:45,10:05,False,C7-103,False
Technical Writing and Presentation,02/04/2025,02/04/2025,06:45,10:05,False,C7-103,False
Technical Writing and Presentation,16/04/2025,16/04/2025,06:45,10:05,False,C7-103,False
Technical Writing and Presentation,23/04/2025,23/04/2025,06:45,10:05,False,C7-103,False
Technical Writing and Presentation,30/04/2025,30/04/2025,06:45,10:05,False,C7-103,False
Technical Writing and Presentation,07/05/2025,07/05/2025,06:45,10:05,False,C7-103,False
Technical Writing and Presentation,14/05/2025,14/05/2025,06:45,10:05,False,C7-103,False
Technical Writing and Presentation,21/05/2025,21/05/2025,06:45,10:05,False,C7-103,False
Technical Writing and Presentation,28/05/2025,28/05/2025,06:45,10:05,False,C7-103,False
Technical Writing and Presentation,04/06/2025,04/06/2025,06:45,10:05,False,C7-103,False
Technical Writing and Presentation,11/06/2025,11/06/2025,06:45,10:05,False,C7-103,False
Data Structures and Algorithms,11/02/2025,11/02/2025,10:15,11:45,False,C7-109,False
Data Structures and Algorithms,18/02/2025,18/02/2025,10:15,11:45,False,C7-109,False
Data Structures and Algorithms,25/02/2025,25/02/2025,10:15,11:45,False,C7-109,False
Data Structures and Algorithms,04/03/2025,04/03/2025,10:15,11:45,False,C7-109,False
Data Structures and Algorithms,11/03/2025,11/03/2025,10:15,11:45,False,C7-109,False
Data Structures and Algorithms,18/03/2025,18/03/2025,10:15,11:45,False,C7-109,False
Data Structures and Algorithms,25/03/2025,25/03/2025,10:15,11:45,False,C7-109,False
Data Structures and Algorithms,01/04/2025,01/04/2025,10:15,11:45,False,C7-109,False
Data Structures and Algorithms,08/04/2025,08/04/2025,10:15,11:45,False,C7-109,False
Data Structures and Algorithms,15/04/2025,15/04/2025,10:15,11:45,False,C7-109,False
Data Structures and Algorithms,13/05/2025,13/05/2025,10:15,11:45,False,C7-109,False
Data Structures and Algorithms,20/05/2025,20/05/2025,10:15,11:45,False,C7-109,False
Data Structures and Algorithms,27/05/2025,27/05/2025,10:15,11:45,False,C7-109,False
Data Structures and Algorithms,03/06/2025,03/06/2025,10:15,11:45,False,C7-109,False
Data Structures and Algorithms,10/06/2025,10/06/2025,10:15,11:45,False,C7-109,False
Data Structures and Algorithms,17/06/2025,17/06/2025,10:15,11:45,False,C7-109,False
Data Structures and Algorithms,13/02/2025,13/02/2025,09:20,11:00,False,C7-215,False
Data Structures and Algorithms,20/02/2025,20/02/2025,09:20,11:00,False,C7-215,False
Data Structures and Algorithms,27/02/2025,27/02/2025,09:20,11:00,False,C7-215,False
Data Structures and Algorithms,06/03/2025,06/03/2025,09:20,11:00,False,C7-215,False
Data Structures and Algorithms,13/03/2025,13/03/2025,09:20,11:00,False,C7-215,False
Data Structures and Algorithms,20/03/2025,20/03/2025,09:20,11:00,False,C7-215,False
Data Structures and Algorithms,27/03/2025,27/03/2025,09:20,11:00,False,C7-215,False
Data Structures and Algorithms,03/04/2025,03/04/2025,09:20,11:00,False,C7-215,False
Data Structures and Algorithms,10/04/2025,10/04/2025,09:20,11:00,False,C7-215,False
Data Structures and Algorithms,17/04/2025,17/04/2025,09:20,11:00,False,C7-215,False
Data Structures and Algorithms,15/05/2025,15/05/2025,09:20,11:00,False,C7-215,False
Data Structures and Algorithms,22/05/2025,22/05/2025,09:20,11:00,False,C7-215,False
Data Structures and Algorithms,29/05/2025,29/05/2025,09:20,11:00,False,C7-215,False
Data Structures and Algorithms,05/06/2025,05/06/2025,09:20,11:00,False,C7-215,False
Data Structures and Algorithms,12/06/2025,12/06/2025,09:20,11:00,False,C7-215,False
Data Structures and Algorithms,19/06/2025,19/06/2025,09:20,11:00,False,C7-215,False
Football I,11/02/2025,11/02/2025,15:30,16:30,False,SVD,False
Football I,18/02/2025,18/02/2025,15:30,16:30,False,SVD,False
Football I,25/02/2025,25/02/2025,15:30,16:30,False,SVD,False
